model,MAE,RMSE,R2
RandomForest,9550.711590698687,18909.14008364996,0.9490343543228166
XGBRegressor,10301.1826171875,19002.867152090497,0.9485278725624084
Ridge,29716.482784062075,43703.41506699631,0.7277519850021783
LinearRegression,29911.40513074276,43752.962346537315,0.7271343309850951
